codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2799,ESCID SL (MARIBEL CASTELAR),HOTEL MIRADOR DE BELVIS SANTIAGO (RECEPCIÓN),SANTIAGO,A CORUÑA,42.8788,-8.5402,En empresa privada
2800,USC (Campus Santiago),Facultad de odontología - Servicio Medicina y cirugía oral (2ª planta),SANTIAGO,A CORUÑA,42.8827,-8.5467,En centros docentes
2801,Consorcio Provincial contra Incendios e Salvamento da Coruña,Parque Comarcal de Bombeiros da Costa da Morte,CEE,A CORUÑA,42.9869,-9.1894,Administraciones o instituciones públicas
2802,Consorcio Provincial contra Incendios e Salvamento da Coruña,Parque Comarcal de Bombeiros de Carballo,CARBALLO,A CORUÑA,43.2366,-8.6869,Administraciones o instituciones públicas
2803,Consorcio Provincial contra Incendios e Salvamento da Coruña,Parque Comarcal de Bombeiros de Arteixo,ARTEIXO,A CORUÑA,43.3113,-8.5069,Administraciones o instituciones públicas
2804,Consorcio Provincial contra Incendios e Salvamento da Coruña,Parque Comarcal de Bombeiros de Betanzos,BETANZOS,A CORUÑA,43.2700,-8.2305,Administraciones o instituciones públicas
2805,Consorcio provincial contra incendios y salvamento de Lugo,Parque bomberos de Barreiros,BARREIROS,LUGO,43.5402,-7.2511,Administraciones o instituciones públicas
2806,CONCELLO A ESTRADA,PABELLÓN COTO FERREIRO. ZONA DEPORTIVA,"ESTRADA, A",PONTEVEDRA,42.6933,-8.5038,Administraciones o instituciones públicas
2807,CONCELLO A ESTRADA,CAMPO DE FÚTBOL MANUEL REGUEIRO,"ESTRADA, A",PONTEVEDRA,42.6944,-8.5063,Administraciones o instituciones públicas
2808,CONCELLO A ESTRADA,CAMPO DE FÚTBOL NUEVO,"ESTRADA, A",PONTEVEDRA,42.6897,-8.5058,Administraciones o instituciones públicas
2809,CONCELLO A ESTRADA,CAMPO DE FÚTBOL SAN MARTIÑO-CALLOBRE,"ESTRADA, A",PONTEVEDRA,42.7061,-8.4383,Administraciones o instituciones públicas
2810,Consorcio provincial contra incendios y salvamento de Lugo,Parque bomberos de Barreiros,BARREIROS,LUGO,43.5402,-7.2511,Administraciones o instituciones públicas
2811,CPI PROGRESO,CPI Progreso (xunto conserxería),CATOIRA,PONTEVEDRA,42.6702,-8.7252,En centros docentes
2812,Concello de Barbadás,Escola de Música Municipal de Barbadás,BARBADAS,OURENSE,42.3179,-7.8798,En centros docentes
2814,CONCELLO PAZOS DE BORBEN,CENTRO DE SALUD PAZOS DE BORBÉN (PASILLO DE ENTRADA AL CENTRO),PAZOS DE BORBEN,PONTEVEDRA,42.2930,-8.5319,Administraciones o instituciones públicas
2815,Concello de Santiago,Pavillón Municipal de Pontepedriña,SANTIAGO,A CORUÑA,42.8669,-8.5463,En instalaciones deportivas
2816,Concello de Santiago,Pavillón Municipal de Lorenzo de la Torre,SANTIAGO,A CORUÑA,42.8863,-8.5441,En instalaciones deportivas
2817,INDITEX Zara Logística (Arteixo),EDIFICIO INDITEX - En Oficina Almacén de Tejidos,ARTEIXO,A CORUÑA,43.3147,-8.5049,En empresa privada
2818,INDITEX Zara Logística (Arteixo),EDIFICIO INDITEX - En Oficina Almacén de Tejidos,ARTEIXO,A CORUÑA,43.3147,-8.5049,En empresa privada
2819,INDITEX Zara Logística (Arteixo),EDIFICIO INDITEX - En Oficina Almacén de Tejidos,ARTEIXO,A CORUÑA,43.3147,-8.5049,En empresa privada
2820,PROTECCIÓN CIVIL CARRAL,COMPLEXO DEPORTIVO CONCELLO CARRAL,CARRAL,A CORUÑA,43.2283,-8.3613,En instalaciones deportivas
2822,Concello de A Coruña,Polideportivo Municipal Sagrada Familia (recepción),"CORUÑA, A",A CORUÑA,43.3568,-8.4197,En instalaciones deportivas
